100,937,26011300
100,100,1895398700
244,657,2982418267
244,307,3640062284
240,736,1002383
240,3,101895158
114,623,109076287461
114,359,387000000
159,403,80000000
159,831,1001092
147,659,10939950000
167,685,46150000
118,603,350000000
118,778,12536790000
88,337,78000000
88,682,34860000
235,29,99000000
235,349,3648154807
235,272,3648154807
235,790,3648154807
235,415,3648154768
235,456,1490052
98,328,2503683234
54,495,2518891
54,54,35624485
68,323,70000000
68,726,2629990000
152,513,72923403
152,707,1076597
104,639,33852841041
104,346,200000000
133,741,2954900000
133,723,9000000
146,457,100000
146,734,1430833906
241,757,740000000
241,241,2021602800
43,392,200530000
43,241,1797360000
94,557,1927720000
94,479,160000
116,850,1435658
116,291,3800000000
220,928,130000000
220,220,141047000
214,573,13429409561
214,776,11171347579
169,562,74875000
169,518,6189143320
141,313,10117954494
141,299,10680929378
249,654,39950000
249,785,1040000
91,436,100000
91,869,1810833225
243,475,215000000
243,508,1328512476
243,656,3339428
0,286,109130000
185,378,10700000
185,185,183486532
99,852,18000000
99,435,2326500000
202,582,120000
202,747,1499330000
145,855,500000000
145,574,3925575000
145,268,1239765
112,650,155000000
112,632,3564435921
112,408,1618799
14,481,390000
14,461,1999060000
204,494,150000
204,716,1999640000
176,80,50000000
176,918,1945215000
176,902,2348156
37,710,27387218908
37,464,2500000000
37,189,5700000
37,390,53215240
37,423,1023090675
128,889,1000000000
128,571,1590000000
128,792,2217189
183,583,322500800
183,750,59591805700
28,572,3300000000
28,681,2971513412
28,635,1761676
208,3,20000000
208,208,20076960
149,444,147000000
149,407,1653000000
149,684,3239424
155,397,1073000
155,193,75250000
137,868,5000000000
137,330,2829549488
137,472,3289465
78,473,110000
78,851,1999490000
11,365,4000000
11,11,1000000
209,501,7679311
209,209,21747500
13,5,6167550000
13,789,990000000
79,724,270000000
79,938,1671910000
229,266,1001000
229,304,20899000
233,517,410000000
233,515,890000000
233,683,2202263
2,531,200000000
2,521,1090000000
2,486,1598194
33,406,2000000000
33,33,9062950253
49,849,24500000
49,379,4379646
232,622,50000000
232,440,131759
6,692,1455507
6,396,117582300
156,519,5500
156,3,994500
3,63,5460
3,3,894540
156,519,5500
156,3,994500
156,920,5500
156,3,994500
156,519,5500
156,3,994500
3,42,5460
3,412,894540
3,915,5460
3,3,894540
156,519,5500
156,3,994500
156,519,5500
156,3,994500
156,519,5500
156,3,994500
3,713,6500
3,3,1193500
80,386,50000000
80,647,2764801
3,713,8005392
3,3,48133957
3,617,2006348
3,412,81889064
212,466,420000000
212,591,1118193
47,301,80930000
47,4,6212537742
166,522,100000000
166,633,23284452
92,674,34767585
92,620,33000000
105,288,3672527
105,900,731392
5,9,5687500000
5,941,480000000
108,883,970750000
108,634,5000000
134,526,1257261781
134,643,8040665
216,739,7000000
216,253,10950000
223,465,4800400
223,908,1149600
125,269,1504737
125,395,90850
254,492,70800000
254,607,22000000
163,3,1000000
163,294,9950000
4,936,28919000
4,16,6183568742
253,932,5900000
253,350,5000000
16,842,61700000
16,171,6121818742
171,490,1287509370
171,27,4834259372
27,82,4400216672
27,583,433992700
82,275,13650000
82,126,4386516672
126,48,4367086672
126,846,19380000
158,804,6000000
158,944,374285
84,437,4180536
84,525,1750160
9,882,460000000
9,257,5227450000
48,658,297400000
48,30,4069636672
30,575,82123773
30,248,3987462899
257,242,4387400000
257,606,840000000
242,756,690000000
242,35,3697350000
248,541,21341838
248,921,3966071061
35,579,2977300000
35,281,720000000
168,325,10000
168,168,66208356
97,438,120000
97,875,493697619
222,556,202082565
222,680,100000
164,372,36562904
164,566,100000
10,553,31365000
10,823,100000000
42,3,3480000
42,42,2498080
86,765,100000
86,613,539361373
75,507,110000
75,536,1999680000
245,769,189680000
245,303,110000
143,539,18974493
143,644,410000
119,727,267646007
119,318,120000
206,502,32773400
206,581,545076600
180,781,32321785
180,661,130000
57,627,19820000
57,729,130000
228,721,573421341
228,905,150000
21,354,59830000
21,830,120000
174,793,198280000
174,704,422520000
50,648,24650000
50,263,100000
3,331,7000000
3,3,1411189851
3,713,10500
3,3,48612239
3,331,7000000
3,3,1412903242
3,331,4500000
3,3,907642771
3,331,4500000
3,3,898263540
3,827,1071052
3,3,49038448
3,197,27500
3,412,8336000
3,837,1071052
3,412,3369548
3,331,4500000
3,3,898263540
3,713,4402965
3,3,54816386
3,331,4500000
3,3,911852040
3,447,1345928
3,3,69224072
3,197,100000
3,3,26942500
3,374,4475642
3,3,6174963
3,42,6810360
3,3,89282179
162,554,2595707
162,19,12000000
199,348,1098185
199,199,7925000
18,341,1298141
18,784,1652029
15,699,1668215
15,400,7082569
255,859,34000000
255,264,1251166
190,906,3950000
190,897,30650000
199,199,1592900
199,768,1477100
44,652,1728309
44,44,63021
44,904,1728309
44,44,384924
44,590,1021270
44,44,41686
42,3,1000000
42,42,5593580
3,42,5460
3,3,16115885
106,832,200000000
106,364,3389465
42,3,1680000
42,42,35354574
3,42,8400
3,3,4933100
60,453,200000000
60,284,1439653
239,922,930001
239,523,302304
46,267,126000000
46,338,674000000
46,551,463153
221,64,100000000
221,584,383597186
221,890,96327
64,891,100000000
64,595,1839801
34,585,300000000
34,655,600000000
34,625,2939791
8,431,510400
8,271,229721
8,810,1189652
203,175,154000000
203,761,646000000
203,433,3464763
175,907,154000000
175,593,2338578
142,801,120000000
142,548,208903557
142,666,93114
113,172,55000000
113,701,135000000
113,675,2077301
172,446,55000000
172,748,1961676
103,177,1000000
103,393,172055637
103,728,3314801
177,926,1000000
177,862,3464801
31,314,12000000
31,703,59490156
31,874,2714651
67,110,300000000
67,758,297000000
67,745,1391610
110,527,300000000
110,737,149642
259,802,2495407
259,259,874449
259,55,2214811
259,259,834269
44,835,1021270
44,44,183683
259,652,2415236
259,259,933844
259,55,2495407
259,259,873673
29,881,100000000
29,621,2077263
261,543,62930000
261,499,1000401
40,834,699000000
40,339,111000000
40,285,1902301
200,545,200000000
200,895,1268628405
200,344,1761638
207,935,1000000000
207,262,395781000
207,332,2098231
53,387,1000000000
53,450,60000000
53,279,1433724
191,58,86000000
191,838,104110000
191,807,485400
58,725,86000000
58,426,565786
93,460,500000000
93,646,493210000
93,421,345621
178,144,100000000
178,430,36873754
178,361,3039791
144,614,100000000
144,371,3239902
230,690,12000
230,848,12000
230,626,42000
230,754,18000
230,886,30000
230,856,6000
230,559,18000
230,282,958330000
230,369,24000
230,376,12000
230,565,42000
230,602,6000
230,335,6000
230,929,12000
230,439,6000
230,363,18000
230,901,6000
230,884,6000
230,762,24000
230,777,6000
230,668,6000
230,427,6000
230,730,6000
230,373,6000
230,384,12000
230,388,6000
230,779,30000
230,742,6000
230,309,6000
230,860,6000
230,764,12000
230,561,6000
230,611,6000
230,923,6000
44,55,1021270
44,44,589294
120,463,2000000
120,806,1000000
120,383,1044660
120,940,1000000
122,434,9990000
32,506,13370000
32,305,883257
237,259,4500000
237,590,283872
131,259,8510000
131,237,4657440
85,61,1700000
85,476,1351945
89,61,1230000
89,55,1715726
186,62,1000000
186,835,1775616
213,123,1210000
213,87,1628898
161,534,1600000
161,321,775597
237,534,1600000
